Rank,Current/Most Recent Study,Status,Study Results,Interventions,Outcome Measures,Age,Phases,Enrollment,Study Type,Study Designs,Completion Date,Locations,URL,Other Locations,Latitude,Longitude,Hospital Name,Temp Locations 2,Principal Investigator,County,ICU Beds in the County,Composite Score,Total Successful Trials,State,ICU Beds true,Normalized Composite Scores
299,Trial To Assess The Safety And Tolerability Of Lucinactant For Inhalation In Preterm Neonates 26 to 28 Weeks PMA,Terminated,Has Results,Combination Product: Lucinactant for inhalation|Device: nCPAP alone,Number of Participants With Peri-Dosing Adverse Events - Initial Dose|Number of Participants With Air Leak|Number of Participants With Worsening of Respiratory Status Criteria|Bronchopulmonary Dysplasia|Number of Participants With Nasal Continuous Positive Airway Pressure (nCPAP) Failure|Death|FiO2|Number of Participants With Complications of Prematurity,26 Weeks to 28 Weeks   (Child),Phase 2,48,Interventional,Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,11-Aug-17,"Loma Linda University Medical Center, Loma Linda, California, United States",https://ClinicalTrials.gov/show/NCT02528318,,34.04911185,-117.2634355,"Loma Linda University Medical Center, Loma Linda",Loma Linda University Medical Center,"Steve Simonson, MD",San Bernardino,410,0.189699319,1,California,410,8.728209124
300,Trial to Assess the Safety and Tolerability of Lucinactant for Inhalation in Premature Neonates,Completed,Has Results,Drug: Lucinactant for Inhalation|Device: nCPAP alone,Peri-Dosing Events|All Cause Mortality|Oxygen Saturation Levels|Serum Electrolytes|PCO2,29 Weeks to 34 Weeks   (Child),Phase 2,80,Interventional,Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,15-Nov,"University of Alabama at Birmingham, Birmingham, Alabama, United States",https://ClinicalTrials.gov/show/NCT02074059,,33.5016153,-86.80604756,"University of Alabama at Birmingham, Birmingham",University of Alabama at Birmingham,"Robert Segal, MD, FACP",Jefferson,471,0.48493457,6,Alabama,471,100
302,Effect Of Acute Inflammatory Mediators On Functional Limitations In Patients With Acute Respiratory Failure,Completed,No Results Available,Other: Early ICU rehabilitation strategies|Other: Usual Care,"Hospital length of stay, days","18 Years and older   (Adult, Older Adult)",Not Applicable,100,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,9-Aug,"Wake Forest School of Medicine, Winston-Salem, North Carolina, United States",https://ClinicalTrials.gov/show/NCT01707303,,36.0905029,-80.2665306,"Wake Forest School of Medicine, Winston-Salem",Wake Forest School of Medicine,"Peter E. Morris, MD",Forsyth,259,0.361796043,1,North Carolina,259,61.93180236
303,Activated Protein C to Treat Acute Lung Injuries,Terminated,No Results Available,Drug: Xigris,Number of ventilator-free days (measured at Day 28),"18 Years and older   (Adult, Older Adult)",Phase 2,90,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment,7-Feb,"University of California San Francisco at Fresno, Fresno, California, United States",https://ClinicalTrials.gov/show/NCT00112164,,36.7436004,-119.7822595,"University of California San Francisco at Fresno, Fresno",University of California San Francisco at Fresno,Michael Matthay,Fresno,164,0.193083545,2,California,164,9.774440449
304,Variable Ventilation During Acute Respiratory Failure,Terminated,No Results Available,Device: variable ventilation|Other: Conventional ventilation,"The occurrence of adverse events in the use of variable ventilation versus conventional ventilation, including the loss of any of the following (1) hemodynamic stability, (2) respiratory stability,(3) acid-base stability, and (4) neurological stability.|Oxygenation","18 Years and older   (Adult, Older Adult)",Not Applicable,7,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Device Feasibility,23-Dec-16,"Boston Medical Center, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT01083277,,42.33417195,-71.07464492,"Boston Medical Center, Boston",Boston Medical Center,"George T O'Connor, MD",Suffolk,281,0.317766372,0,Massachusetts,447,48.32005745
305,Standardized Rehabilitation for Intensive Care Unit (ICU) Patients With Acute Respiratory Failure,Completed,No Results Available,Other: Standardized Rehabilitation|Other: Usual Care,To determine whether standardized rehabilitation therapy will decrease hospital length of stay.,"18 Years and older   (Adult, Older Adult)",Not Applicable,300,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,15-Jun,"Wake Forest University Health Sciences, Winston-Salem, North Carolina, United States",https://ClinicalTrials.gov/show/NCT00976833,,36.1354887,-80.2792887,"Wake Forest University Health Sciences, Winston-Salem",Wake Forest University Health Sciences,"Peter E. Morris, MD",Forsyth,259,0.361796043,1,North Carolina,259,61.93180236
306,The Safety and Preliminary Tolerability of Lyophilized Lucinactant in Adults With Coronavirus Disease 2019 (COVID-19),Completed,No Results Available,Drug: Lucinactant,"Evaluate the safety and feasibility of Lucinactant surfactant replacement therapy (SRT) in treating COVID-19|Oxygen index (OI)|Fraction of inspired oxygen (FiO2)|Partial pressure of oxygen (PaO2)|Oxygenation from pulse oximetry (SpO2)|Partial pressure of carbon dioxide (PaCO2)|End tidal carbon dioxide (ETCO2)|Ratio of arterial oxygen concentration to fraction of inspired oxygen and/or ratio of pulse oximetric saturation to fraction of inspired oxygen (P/F and/or S/F ratios)|Plateau pressure and peak inspiratory pressure (PPLAT and PIP)|Ventilation Index (VI)|Lung compliance (CL)|Pressure-volume loops, if ventilator technology permits|Daily lung compliance (static) on ventilator|Ventilator free days|Days in the intensive care unit (ICU)|Days in the hospital|Incidence of all-cause mortality|Organ failure free days","18 Years to 75 Years   (Adult, Older Adult)",Phase 2,20,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,16-Mar-22,"University California San Diego - Jacobs Medical Center, La Jolla, California, United States",https://ClinicalTrials.gov/show/NCT04389671,,32.8778127,-117.2263271,"University California San Diego - Jacobs Medical Center, La Jolla",University California San Diego - Jacobs Medical Center,"Yuh-Chin T Huang, MD, MHS",San Diego,570,0.184924401,1,California,570,7.252046248
307,Safety and Efficacy Study of the Draeger Babylog VN500 Device in HFOV Mode in VLBW Neonates,Unknown status,No Results Available,Device: Babylog VN500 in HFOV Mode,Alive and free from Grade III/IV intraventricular hemorrhage (IVH) and cystic periventricular leukomalacia (PVL)|Alveolar-arterial (A-a) Gradient change|Freedom from study-defined serious adverse events|Device failure rate|Neurodevelopment assessment|Change of partial carbon dioxide pressure (PaCO2)|Relationship between tidal volume high frequency (Vthf) set and Vthf observed|Stability of Vthf observed and carbon dioxide diffusion (DCO2) coefficient monitoring during high frequency oscillation over time|Freedom from Bronchopulmonary Dysplasia (BPD)|Length and Type of Respiratory Support|Neonatal survival,23 Weeks to 30 Weeks   (Child),Not Applicable,225,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,20-Sep,"Arkansas Children's Hospital, Little Rock, Arkansas, United States",https://ClinicalTrials.gov/show/NCT02445040,,34.74084135,-92.29159166,"Arkansas Children's Hospital, Little Rock",Arkansas Children's Hospital,"Martin Keszler, MD",Pulaski,8,0.432534222,1,Arkansas,209,83.8004656
308,LIPS-A: Lung Injury Prevention Study With Aspirin,Completed,Has Results,Drug: Aspirin|Drug: Lactose powder,Number of Participants Who Developed Acute Respiratory Distress Syndrome (ARDS) Within 7 Days|Hospital Mortality|Number of Participants With ARDS or Mortality Within 7 Days|Number of Subjects With Mechanical Ventilation at Any Time During Hospitalization|Mean Number of Days Participants Were Ventilator-Free To Day 28|Number of Subjects Admitted to Intensive Care Unit (ICU)|Mean Hospital Length of Stay,"18 Years and older   (Adult, Older Adult)",Phase 2,400,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention",15-Sep,"Stanford Univeristy, Stanford, California, United States",https://ClinicalTrials.gov/show/NCT01504867,,37.4274745,-122.169719,"Stanford Univeristy, Stanford",Stanford Univeristy,"Daryl Kor, MD",Santa Clara,313,0.173702036,1,California,313,3.782659215
309,PROSpect: Prone and Oscillation Pediatric Clinical Trial,Enrolling by invitation,No Results Available,Other: Either supine or prone positioning and either CMV or HFOV,Ventilator-free Days (VFD)|Nonpulmonary organ failure-free days (OFFD),"2 Weeks to 20 Years   (Child, Adult)",Not Applicable,800,Interventional,Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,31-Jul-26,"Children's of Alabama, Birmingham, Alabama, United States",https://ClinicalTrials.gov/show/NCT03896763,,33.50468945,-86.80563535,"Children's of Alabama, Birmingham",Children's of Alabama,"Martha AQ Curley, RN, PhD",Jefferson,471,0.48493457,0,Alabama,471,100
310,Open-Label Study of ARD-0403 in Testosterone Deficient Men,Completed,No Results Available,Drug: ARD-0403,Pharmacokinetic|Safety and tolerability,"18 Years and older   (Adult, Older Adult)",Phase 3,150,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,8-Feb,"Medical Affiliated Research Center, Inc, Huntsville, Alabama, United States",https://ClinicalTrials.gov/show/NCT00448955,,34.7252356,-86.58637,"Medical Affiliated Research Center, Inc",Medical Affiliated Research Center,,Madison,0,0.4416247,1,Alabama,100,86.61078112
311,Open-Label Study of ARD-0403 in Testosterone Deficient Men,Terminated,No Results Available,Drug: ARD-0403,Efficacy|Safety and Tolerability,"18 Years and older   (Adult, Older Adult)",Phase 3,150,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,8-Jun,"Medical Affiliated Research Center, Inc, Huntsville, Alabama, United States",https://ClinicalTrials.gov/show/NCT00562731,,34.7252356,-86.58637,"Medical Affiliated Research Center, Inc",Medical Affiliated Research Center,R Swerdloff,Madison,0,0.4416247,1,Alabama,100,86.61078112
312,Exosurf Neonatal and Survanta for Treatment of Respiratory Distress Syndrome,Completed,No Results Available,Drug: Exosurf|Drug: Survanta,Death or bronchopulmonary dysplasia|Average fraction of inspired oxygen (FIO2)|Mean airway pressure (MAP),up to 6 Hours   (Child),Phase 2|Phase 3,617,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",Jan-92,"Stanford University, Palo Alto, California, United States",https://ClinicalTrials.gov/show/NCT01203358,,37.4387861,-122.1569334,"Stanford University, Palo Alto",Stanford University,"Jeffrey D. Horbar, MD",Santa Clara,313,0.173702036,3,California,313,3.782659215
313,Efficacy and Safety of Dexmedetomidine During Non-Invasive Positive Pressure Ventilation,Completed,Has Results,Drug: Dexmedetomidine|Drug: Placebo,Tolerability of NIV as Assessed by an NIV Tolerance Score|Percent of Study Time Spent With a Riker-SAS Score Between 3 and 4 Inclusive,"18 Years to 85 Years   (Adult, Older Adult)",Phase 2,36,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",13-Feb,"Tufts Medical Center, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT00871624,,42.3494397,-71.06308468,"Tufts Medical Center, Boston",Tufts Medical Center,"Nicholas S Hill, MD",Suffolk,281,0.317766372,3,Massachusetts,447,48.32005745
314,Clinical Decision Support Tool in PARDS Pilot Study,Recruiting,No Results Available,Other: Ventilator protocol,Aim 1: Implementation Feasibility|Aim 2: Protocol Adherence,"1 Month to 18 Years   (Child, Adult)",Not Applicable,180,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,23-Jun,"Ann & Robert H. Lurie Children's Hospital of Chicago, Chicago, Illinois, United States",https://ClinicalTrials.gov/show/NCT04068012,,41.8453812,-87.90828366,"Ann & Robert H. Lurie Children's Hospital of Chicago, Chicago",Ann & Robert H. Lurie Children's Hospital of Chicago,"Christopher J Newth, MD",Cook,0,0.319824519,0,Illinois,1606,48.9563323
315,Strategies for Anticoagulation During Venovenous ECMO,Recruiting,No Results Available,Other: Low intensity anticoagulation|Other: Moderate Intensity Anticoagulation,Frequency of major bleeding events|Frequency of thromboembolic events|Frequency of cannula-associated deep vein thrombosis|Bleeding events per ECMO day|Thromboembolic events per ECMO day|Bleeding events from randomization to the first of death or discharge|Thromboembolic events from randomization to the first of death or discharge|Frequency of circuit or circuit component exchanges|ECMO circuit durability|Red blood cell transfusion volume per ECMO day|New Heparin Induced Thrombocytopenia diagnosis|Lowest platelet count|Highest total and indirect bilirubin values|Highest lactate dehydrogenase value|Death attributable to a major bleeding event|Death attributable to a thromboembolic event|Ventilator-free days|ICU-free days|Hospital-free days|In-hospital mortality,"18 Years and older   (Adult, Older Adult)",Not Applicable,15,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,12-May-23,"Vanderbilt University Medical Center, Nashville, Tennessee, United States",https://ClinicalTrials.gov/show/NCT04997265,,36.14092375,-86.80163418,"Vanderbilt University Medical Center, Nashville",Vanderbilt University Medical Center,"Jonathan D Casey, MD, MSc",Davidson,614,0.384689218,2,Tennessee,614,69.00921291
316,Drug Study of Albuterol to Treat Acute Lung Injury,Terminated,Has Results,Drug: Albuterol Sulfate|Procedure: Mini-Bronchoalveolar Lavage (BAL)|Drug: Placebo,Number of Ventilator Free Days (VFD)|Mortality Prior to Hospital Discharge With Unassisted Breathing to Day 60|Mortality Prior to Hospital Discharge With Unassisted Breathing to Day 90|Number of ICU-free Days at 28 Days After Randomization|Number of Organ Failure-free Days at Day 28 Following Randomization|Ventilator Free Days to Day 28 in the Subset of Participants With ARDS|Hospital Mortality to Day 60 in the Subset of Participants With ARDS|Ventilator Free Days to Day 28 in the Subset of Patients With Baseline Shock|Hospital Mortality up to Day 60 in Subjects With Baseline Shock|Plasma Levels of IL-6 and IL-8 on Study Day 3,"13 Years and older   (Child, Adult, Older Adult)",Phase 2|Phase 3,282,Interventional,"Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",8-Nov,"University of San Francisco-Fresno Medical Center, Fresno, California, United States",https://ClinicalTrials.gov/show/NCT00434993,,36.7377981,-119.7871247,"University of San Francisco-Fresno Medical Center, Fresno",University of San Francisco-Fresno Medical Center,"Michael A. Matthay, MD",Fresno,164,0.193083545,1,California,164,9.774440449
317,"A Study to Evaluate the Safety and Efficacy of Razuprotafib, a Novel Tie 2 Activator, in Hospitalized Subjects With Moderate to Severe Coronavirus Disease 2019 (COVID-19)",Terminated,No Results Available,Drug: Razuprotafib Subcutaneous Solution|Drug: Placebo Subcutaneous Solution,Proportion of subjects alive and free of respiratory failure at Day 7|Proportion of subjects alive and free of respiratory failure at Day 28|Length hospitalized and free of respiratory failure from baseline to Day 7|Length hospitalized and free of respiratory failure from baseline to Day 28|Length of hospitalization from baseline to Day 7|Length of hospitalization from baseline to Day 28|Proportion of subjects who improve by at least 2 categories on the NIAID 8-point ordinal scale from baseline to Day 7|Proportion of subjects who improve by at least 2 categories on the NIAID 8-point ordinal scale from baseline to Day 28|Proportion of subjects who worsen by at least 2 categories on the NIAID 8-point ordinal scale from baseline to Day 7|Proportion of subjects who worsen by at least 2 categories on the NIAID 8-point ordinal scale from baseline to Day 28|All-cause mortality at Day 7|All-cause mortality at Day 28|Length of ICU stay from baseline to Day 28|Number of subjects in each category of the NIAID 8-point ordinal scale at Day 7|Number of subjects in each category of the NIAID 8-point ordinal scale at Day 28|Time to return to prehospitalization oxygen requirement|Proportion of subjects who were discharged and remained free of respiratory failure prior to Day 7|Proportion of subjects who were discharged and remained free of respiratory failure prior to Day 28|Change in PaO2:FiO2 ratio from baseline to Day 7|Change in PaO2:FiO2 ratio from baseline to Day 28|Number of participants with any serious adverse event from baseline to Day 7|Number of participants with any treatment emergent adverse event from baseline to Day 28|Number of participants with any treatment emergent adverse event from baseline to Day 7|Number of participants with any serious adverse event from baseline to Day 28,"18 Years and older   (Adult, Older Adult)",Phase 2,31,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",26-Feb-21,"University of Southern California, Los Angeles, California, United States",https://ClinicalTrials.gov/show/NCT04511650,,34.0218833,-118.2858666,"University of Southern California, Los Angeles",University of Southern California,,Los Angeles,2126,0.184174979,0,California,2126,7.020362911
318,Pulmonary Function Using Non-invasive Forced Oscillometry,Recruiting,No Results Available,Device: Non-invasive forced airway oscillometry,Area under the reactance curve (AXR)|R7-20|R7|X7|R11|R19|X11|X19|Impedance R(f)|Impedance x(f)|Resonance frequency|Tidal volume|Respiratory rate|Longer-term pulmonary outcomes,1 Day to 2 Years   (Child),Not Applicable,1098,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,26-May,"University of Alabama at Birmingham, Birmingham, Alabama, United States",https://ClinicalTrials.gov/show/NCT03346343,,33.5016153,-86.80604756,"University of Alabama at Birmingham, Birmingham",University of Alabama at Birmingham,"Namasivayam Ambalavanan, MD",Jefferson,471,0.48493457,6,Alabama,471,100
320,Vitamin D to Improve Outcomes by Leveraging Early Treatment,Completed,Has Results,Drug: Vitamin D3|Drug: Placebo,"All-cause, All-location Mortality to Day 90|All-cause, All Location Mortality to Day 28|Hospital Mortality to Day 90|Alive and Home (Prior Level of Care) at Day 90|Hospital Length of Stay to Day 90|Healthcare Facility Length of Stay to Day 90|Ventilator-free Days (VFDs) to Day 28|Health-related Quality of Life by EuroQol (EQ-5D-5L)|Number of Participants Who Developed (New) ARDS to Day 7|Severity of Acute Respiratory Distress Syndrome (ARDS)|Worst Acute Kidney Injury (AKI)|New Renal Replacement Therapy (RRT)|Highest Creatinine Levels|New Vasopressor Use to Day 7|Highest Cardiovascular SOFA (Sepsis Related Organ Failure Assessment) Score|25OHD Levels at Day 3|Highest Total Calcium to Day 14|Highest Ionized Calcium to Day 14|Hypercalcemia to Day 14|Kidney Stones to Day 90|Fall-related Fractures to Day 90|Falls to Day 90","18 Years and older   (Adult, Older Adult)",Phase 3,1358,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",11-Dec-18,"UCSF Fresno, Fresno, California, United States",https://ClinicalTrials.gov/show/NCT03096314,,36.7435693,-119.7822114,"UCSF Fresno, Fresno",UCSF Fresno,"Boyd Taylor Thompson, MD",Fresno,164,0.193083545,2,California,164,9.774440449
321,A Study to Assess the Efficacy and Safety of Gimsilumab in Subjects With Lung Injury or Acute Respiratory Distress Syndrome Secondary to COVID-19 (BREATHE),Completed,Has Results,Drug: Gimsilumab|Drug: Placebo,Incidence of Mortality|Proportion of Subjects Who Are Alive and Not on Mechanical Ventilation|Number of Ventilator-free Days|Time to Hospital Discharge,"18 Years and older   (Adult, Older Adult)",Phase 2,227,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",1-Apr-21,"Banner University Medical Center, Phoenix, Arizona, United States",https://ClinicalTrials.gov/show/NCT04351243,,33.46470925,-112.05858,"Banner University Medical Center, Phoenix",Banner University Medical Center,,Maricopa,1004,0.188377743,1,Arizona,1004,8.31964474
322,Postoperative Respiratory Abnormalities,Unknown status,No Results Available,Other: Observational retrospective cohort to describe data validity; and Data reliability; and Completeness of the data,postoperative respiratory abnormalities|Length- of-Stay|Inpatient mortality overall|The incremental cost-effectiveness ratio (ICER)|30-day readmission|30-day hospital mortality|time to event,"18 Years to 90 Years   (Adult, Older Adult)",,50000,Observational,Observational Model: Cohort|Time Perspective: Retrospective,20-Oct,"Memorial Hermann Medical Center, Houston, Texas, United States",https://ClinicalTrials.gov/show/NCT04079829,,29.7135267,-95.39627452,"Memorial Hermann Medical Center, Houston",Memorial Hermann Medical Center,"Paul G Loubser, MD",Harris,918,0.290090595,0,Texas,918,39.76410852
323,Point-of-care Lung Ultrasound (POCUS)-Integrated Study of Admitted Patients With COVID-19,Recruiting,No Results Available,Diagnostic Test: Point of Care Ultrasound,Association of POCUS changes with major clinical events|Time from POCUS worsening to clinical diagnosis.|Utilization of traditional radiography|Individual clinical outcomes,"18 Years and older   (Adult, Older Adult)",,240,Observational,Observational Model: Case-Only|Time Perspective: Prospective,22-Jun,"UCLA-Ronald Reagan, Los Angeles, California, United States",https://ClinicalTrials.gov/show/NCT05228717,,34.0664551,-118.4465189,"UCLA-Ronald Reagan, Los Angeles",UCLA-Ronald Reagan,,Los Angeles,2126,0.184174979,0,California,2126,7.020362911
324,Re-Evaluation of Systemic Early Neuromuscular Blockade and Transthoracic Ultrasound Assessment of the Diaphragm,Withdrawn,No Results Available,,Study feasibility - number of participating centers|Study feasibility - number of trained sonographers in study|Study feasibility - enrolment rate|Study feasibility - measurement acquisition rate|Diaphragm function|Changes in diaphragm thickness over time with or without neuromuscular blockade,"19 Years and older   (Adult, Older Adult)",,0,Observational,Observational Model: Cohort|Time Perspective: Prospective,1-Dec-18,"Brigham and Women's Health, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT03132896,,42.2087103,-71.1488623,"Brigham and Women's Health, Boston",Brigham and Women's Health,"Ewan C Goligher, MD, PhD",Norfolk,59,0.329363088,0,Massachusetts,59,51.90517486
325,Clinical Trial to Evaluate CERC-002 in Adults With COVID-19 Pneumonia and Acute Lung Injury,Completed,Has Results,Drug: CERC-002|Drug: Placebo,Number of Subjects Alive and Free of Respiratory Failure|Number of Subjects Who Are Alive at Day 28,"18 Years and older   (Adult, Older Adult)",Phase 2,88,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",19-Jan-21,"Hoag Memorial Hospital, Newport Beach, California, United States",https://ClinicalTrials.gov/show/NCT04412057,,33.62344805,-117.9296051,"Hoag Memorial Hospital, Newport Beach",Hoag Memorial Hospital,"Scott White, MD",Orange,0,0.178217076,1,California,651,5.178480972
326,Maternal Hyperoxygenation for Intrapartum Fetal Heart Rate Tracing Abnormalities,Withdrawn,No Results Available,Other: Room air,Perinatal death|Respiratory distress syndrome|Low 5 minute Apgar score|Hypoxic-ischemic encephalopathy|Neonatal seizure|Meconium aspiration syndrome|Intracranial hemorrhage|Neonatal hypotension,18 Years to 55 Years   (Adult),Not Applicable,0,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,30-Dec-22,"Loma Linda University Children's Hospital, Loma Linda, California, United States",https://ClinicalTrials.gov/show/NCT03996317,,34.0491211,-117.263821,"Loma Linda University Children's Hospital, Loma Linda",Loma Linda University Children's Hospital,"Ruofan Yao, MD MPH",San Bernardino,410,0.189699319,0,California,410,8.728209124
327,Electrical Impedance Imaging of Patients on Mechanical Ventilation,Completed,No Results Available,Device: Mechanical Ventilation|Device: CT Scan,Sensitivity and specificity for diagnosing lung pathology|Regional correlation with CT scan,"18 Years and older   (Adult, Older Adult)",,2,Observational,Observational Model: Case-Only|Time Perspective: Cross-Sectional,16-Aug,"Medical Center of the Rockies, Loveland, Colorado, United States",https://ClinicalTrials.gov/show/NCT02232841,,40.4154198,-104.9974664,"Medical Center of the Rockies, Loveland",Medical Center of the Rockies,"Jennifer L Mueller, Ph.D.",Larimer,55,0.22079639,1,Colorado,55,18.34184893
328,Peer Support for Post Intensive Care Syndrome Self-Management,Unknown status,No Results Available,Behavioral: Peer Support with Motivational Interviewing|Behavioral: Usual Care Group,Social Network Index|Center for Epidemiologic Studies Depression Scale (CES-D)|Patient Activation Measure|Patient-Reported Outcomes Measurement Information System (PROMIS) Fatigue Scale|Short Form-36 (SF-36),"18 Years to 65 Years   (Adult, Older Adult)",Not Applicable,40,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Supportive Care,27-Jan-21,"Baylor Scott & White Health, Temple, Texas, United States",https://ClinicalTrials.gov/show/NCT03788096,,30.02777725,-97.87524479,"Baylor Scott & White Health, Temple",Baylor Scott & White Health,,Hays,42,0.28987782,0,Texas,42,39.69832927
329,Mobile Critical Care Recovery Program for Acute Respiratory Failure Survivors,Completed,No Results Available,Behavioral: Mobile Critical Care Program|Behavioral: Attention Control,Change in Self Reported Quality of Life|Change in Cognitive Assessment Score|Change in Physical Performance|Change in Depression Symptoms|Change in Anxiety Symptoms,"18 Years and older   (Adult, Older Adult)",Not Applicable,503,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",31-Oct-22,"Eskenazi Hospital, Indianapolis, Indiana, United States",https://ClinicalTrials.gov/show/NCT03053245,,39.77820945,-86.18436604,"Eskenazi Hospital, Indianapolis",Eskenazi Hospital,"Babar A Khan, MD, MS",Marion,14,0.370007758,2,Indiana,526,64.47044885
330,Predictors of Severe COVID-19 Outcomes,"Active, not recruiting",No Results Available,,Performance (discrimination / calibration) of models,"18 Years and older   (Adult, Older Adult)",,494,Observational,Observational Model: Cohort|Time Perspective: Prospective,21-Oct,"The University of Arizona, Tucson, Arizona, United States",https://ClinicalTrials.gov/show/NCT04388813,,32.2318851,-110.9501094,"The University of Arizona, Tucson",The University of Arizona,"Charlie Kim, PhD",Pima,296,0.186115489,2,Arizona,296,7.620270349
331,SOLIRIS® (Eculizumab) Treatment of Participants With COVID-19,No longer available,No Results Available,Biological: eculizumab,,"18 Years and older   (Adult, Older Adult)",,,Expanded Access:Intermediate-size Population,,,"Cedars-Sinai Medical Center, Los Angeles, California, United States",https://ClinicalTrials.gov/show/NCT04355494,,34.0751604,-118.3810936,"Cedars-Sinai Medical Center, Los Angeles",Cedars-Sinai Medical Center,,Los Angeles,2126,0.184174979,0,California,2126,7.020362911
333,Efficacy and Safety Study of IV Ravulizumab in Patients With COVID-19 Severe Pneumonia,Terminated,Has Results,Biological: Ravulizumab|Other: BSC,Survival (Based On All-Cause Mortality) in Participants in the ITT Population At Day 29|Number Of Days Free Of Mechanical Ventilation At Day 29|Number of Days the Participants Were Alive and Not in ICU|Change From Baseline In Sequential Organ Failure Assessment (SOFA) At Day 29|Change From Baseline In Peripheral Capillary Oxygen Saturation/Fraction Of Inspired Oxygen (SpO2/FiO2) At Day 29|Number of Days the Participants Were Alive and Not in the Hospital|Estimated Number of Participants Alive At Up To Day 60 and At Up To Day 90|Serum Ravulizumab Concentrations Prior to Dosing on Day 1 and Day 29|Change From Baseline In Serum Free Complement Component 5 Concentrations At Day 29|Change From Baseline In Terminal Complement Complex C5b-9 At Day 29,"18 Years and older   (Adult, Older Adult)",Phase 3,202,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,8-Apr-21,"Central Arkansas Veterans Healthcare System, Little Rock, Arkansas, United States",https://ClinicalTrials.gov/show/NCT04369469,,34.7463676,-92.3204675,"Central Arkansas Veterans Healthcare System, Little Rock",Central Arkansas Veterans Healthcare System,,Pulaski,8,0.432534222,0,Arkansas,209,83.8004656
